,,,t,Rf,VE,VT,VO2,VCO2,VE/VO2,VE/VCO2,VO2/Kg,R,HR,Power,RPM,Load3,Phase
,,,hh:mm:ss,b/min,l/min,l,ml/min,ml/min,---,---,ml/min/Kg,---,bpm,Watt,1/min,Watt,---

,,,00:00:04,10.30927835,10.90360598,1.05764978,491.095247,382.4220569,22.20262982,28.51196938,6.200697564,0.778712601,56,0,45,0,0
Male 25.0 yrs,,,00:00:09,11.78781925,11.33726473,0.961777958,450.1337111,360.3701662,25.18643783,31.46005356,5.683506454,0.800584709,55,0,42,0,0
Height (cm):,192,,00:00:13,13.10043668,12.35920774,0.943419524,533.6756529,423.842759,23.15865015,29.15988884,6.738328951,0.794195419,56,0,41,0,0
Weight (Kg):,79.2,,00:00:17,16.85393258,13.08124369,0.776153792,555.2829532,434.916325,23.55779808,30.07761019,7.011148399,0.783233705,56,0,39,0,0
,,,00:00:21,15,12.77441031,0.851627354,486.4134712,391.5978734,26.26245173,32.62124536,6.141584232,0.805072015,57,0,37,0,0
,,,00:00:27,10.38062284,13.13887922,1.265712032,534.3958811,430.8863637,24.58641559,30.49267818,6.747422741,0.806305548,57,0,34,0,0
,,,00:00:32,10.98901099,18.32481047,1.667557753,747.3583846,632.1684559,24.51944188,28.98722691,9.436343239,0.845870561,60,0,32,0,0
,,,00:00:38,10.58201058,9.454431608,0.893443787,321.385229,276.6303513,29.41775401,34.17713047,4.057894305,0.860743825,62,0,30,0,0
,,,00:00:42,12.98701299,12.90123715,0.993395261,467.2294665,400.1247185,27.61220787,32.24303963,5.899361951,0.85637732,59,0,27,0,0
,,,00:00:50,8.064516129,9.779649642,1.212676556,406.4341234,338.9960748,24.06207815,28.84885805,5.131743983,0.834073852,57,0,25,0,0
,,,00:00:53,16.85393258,15.84876042,0.940359785,708.8083015,561.3332808,22.35972743,28.23413641,8.949599766,0.791939484,58,0,23,0,0
,,,00:00:57,15,10.9691643,0.73127762,364.2243239,291.0119554,30.11650673,37.6931741,4.598791968,0.798990996,61,0,22,0,0
,,,00:01:03,12.47401247,15.69945082,1.258572641,622.7875033,522.3364448,25.20835876,30.05620414,7.863478577,0.838707331,62,0,20,0,0
,,,00:01:09,9.360374415,11.43702751,1.221855773,472.418869,400.0548225,24.20950615,28.58865053,5.964884709,0.846822277,59,0,18,0,0
,,,00:01:16,8.141112619,10.32091064,1.267751858,436.9070225,369.705719,23.62267053,27.91655664,5.51650281,0.846188548,59,0,15,0,0
,,,00:01:22,9.345794393,10.70432054,1.145362298,425.7645306,363.5801567,25.14140979,29.44143222,5.37581478,0.853946561,60,0,13,0,0
,,,00:01:29,8.875739645,12.00359145,1.352404636,490.3972517,424.1031004,24.47728124,28.30347488,6.191884491,0.86481541,60,0,10,0,0
,,,00:01:35,10.84990958,11.11022768,1.023992651,449.2841489,386.2462084,24.72873281,28.76462587,5.672779658,0.859692489,59,0,10,0,0
,,,00:01:43,8.064516129,8.973589369,1.112725082,341.6158033,305.4062807,26.26807449,29.38246505,4.31333085,0.89400513,59,0,6,0,0
,,,00:01:48,10.20408163,12.13488323,1.189218557,496.3833236,425.981576,24.44659732,28.48687341,6.267466207,0.858170603,59,0,5,0,0
,,,00:01:55,8.708272859,8.80174556,1.010733782,344.5343741,299.7905678,25.54678494,29.35964805,4.350181491,0.870132534,58,0,1,0,0
,,,00:02:00,10.8892922,8.385128647,0.770034314,317.7057029,274.4181419,26.39275459,30.5560288,4.011435643,0.8637495,57,0,0,0,1
,,,00:02:06,10.73345259,12.70968506,1.184118992,542.4219122,458.8190253,23.43136363,27.70086758,6.848761517,0.845871111,57,0,51,0,1
,,,00:02:10,14.96259352,14.95533275,0.999514739,612.8686852,502.5508937,24.40218127,29.75884221,7.738240974,0.81999767,59,0,80,0,1
,,,00:02:14,14.11764706,16.24181453,1.150461863,747.1329624,585.8881545,21.73885419,27.72169809,9.433497,0.784181911,70,0,95,0,1
,,,00:02:19,14.31980907,14.34207014,1.001554565,633.5315971,483.3298579,22.63828704,29.67346193,7.999136327,0.762913579,81,0,103,0,1
,,,00:02:22,15.66579634,12.65437747,0.807771095,573.6810158,418.4334274,22.058212,30.24227186,7.243447169,0.729383431,82,0,103,0,1
,,,00:02:26,16,14.62147275,0.913842047,779.7130268,539.4525687,18.75237715,27.10427867,9.84486145,0.691860403,82,0,102,0,1
,,,00:02:30,14.77832512,18.81061216,1.272851423,1047.867698,718.3090532,17.95132361,26.18735219,13.23065276,0.68549594,79,0,102,0,1
,,,00:02:34,16.21621622,18.47420789,1.13924282,1004.295481,689.6065615,18.39519169,26.78948971,12.6804985,0.686657039,79,0,102,0,1
,,,00:02:38,15.58441558,21.3784361,1.371782983,1197.035061,818.3755066,17.85949034,26.12301557,15.11407905,0.683668786,80,0,102,0,1
,,,00:02:42,14.1509434,20.29241995,1.433997676,1081.265462,756.9317382,18.76728764,26.80878463,13.6523417,0.700042464,80,0,102,0,1
,,,00:02:46,14.38848921,17.55130858,1.219815947,915.7706345,636.7039215,19.16561628,27.56588736,11.56276054,0.695265711,77,0,92,0,1
,,,00:02:49,17.75147929,21.38196305,1.204517252,1180.781639,804.8164578,18.10831262,26.56750224,14.90885907,0.681596352,74,0,92,0,1
,,,00:02:53,16.48351648,22.93123072,1.39116133,1329.304547,904.3288152,17.25054712,25.3571824,16.78414832,0.680302206,74,0,92,0,1
,,,00:02:57,16.30434783,20.35391593,1.248373511,1112.068085,766.5887324,18.3027606,26.55128503,14.0412637,0.68933615,75,0,94,0,1
,,,00:03:00,16.12903226,19.70735117,1.221855773,1091.078754,757.2382088,18.06226278,26.02529949,13.77624689,0.694027087,75,0,94,0,2
,,,00:03:04,16.71309192,21.58010902,1.291209856,1176.637174,814.9998552,18.3404957,26.47866608,14.85652997,0.692651799,74,0,94,0,2
,,,00:03:07,18.80877743,26.7031767,1.419718894,1488.333531,1037.959674,17.94166169,25.72660322,18.79209004,0.697397225,73,0,94,0,2
,,,00:03:10,19.67213115,27.46742745,1.396260895,1358.560402,976.3864291,20.21803918,28.13171776,17.15354044,0.718691953,75,0,94,0,2
,,,00:03:13,20.6185567,28.24212696,1.369743157,1328.05848,983.0726731,21.2657254,28.72842235,16.76841516,0.74023297,75,0,94,0,2
,,,00:03:16,19.67213115,25.94257392,1.318747507,1126.622191,852.8604054,23.02686219,30.41831202,14.22502766,0.757006575,75,0,94,0,2
,,,00:03:19,18.75,23.86596417,1.272851423,1101.785468,841.8575302,21.66117167,28.3491723,13.91143268,0.764084801,75,0,94,0,2
,,,00:03:23,17.96407186,23.43356992,1.304468725,1141.136556,866.4002318,20.53528983,27.04704946,14.40828985,0.759243254,75,0,94,0,2
,,,00:03:27,14.88833747,18.49509726,1.242254033,868.5169859,663.7126887,21.29503229,27.86611974,10.96612356,0.764190798,74,0,94,0,2
,,,00:03:30,16.62049861,17.66342401,1.062749345,825.5570584,619.1906066,21.39576403,28.52663433,10.42370023,0.750027633,74,0,92,0,2
,,,00:03:34,18.63354037,25.25710016,1.355464375,1271.323746,940.4714557,19.86677291,26.85578601,16.05206751,0.739757641,74,0,90,0,2
,,,00:03:37,15.46391753,18.81581764,1.216756208,979.4413508,719.2979847,19.21076502,26.15858524,12.36668372,0.734396178,73,0,91,0,2
,,,00:03:41,15.2284264,22.61411157,1.484993326,1216.966884,893.1777454,18.58235575,25.31871364,15.36574348,0.733937593,72,0,91,0,2
,,,00:03:45,17.49271137,24.19245527,1.383002026,1206.355534,873.1404434,20.05416695,27.7074043,15.23176179,0.723783677,73,0,91,0,2
,,,00:03:49,15.91511936,24.80255271,1.558427062,1264.460623,940.1469434,19.61512463,26.38157034,15.96541191,0.743516189,74,0,91,0,2
,,,00:03:52,19.67213115,28.20979035,1.433997676,1381.462057,1044.039626,20.4202426,27.01984641,17.44270274,0.755749766,74,0,91,0,2
,,,00:03:55,15.87301587,19.20026693,1.209616817,1054.056886,793.3165466,18.21558892,24.20252926,13.30879907,0.752631625,74,0,91,0,2
,,,00:03:59,15.30612245,22.71387877,1.483973413,1109.71429,850.6934329,20.46822229,26.70042802,14.01154407,0.766587797,77,0,95,0,2
,,,00:04:03,16.52892562,24.00588612,1.45235611,1153.883769,887.5985532,20.80442309,27.04588244,14.56923951,0.769227003,76,38,94,0,3
,,,00:04:07,15.46391753,20.37723084,1.317727594,1035.740888,800.8878841,19.67406239,25.44330018,13.07753646,0.7732512,75,38,92,0,3
,,,00:04:11,14.11764706,25.29864196,1.791987139,1283.369753,989.8040812,19.71266808,25.55924192,16.20416354,0.77125402,75,38,94,0,3
,,,00:04:15,15.42416452,23.32952664,1.512530977,1120.663304,870.6033875,20.81760558,26.79696286,14.14978919,0.776864367,74,38,93,0,3
,,,00:04:18,18.57585139,26.52405322,1.427878198,1305.469709,1007.880634,20.31763206,26.31666126,16.4832034,0.772044442,74,38,93,0,3
,,,00:04:22,16.34877384,23.6275213,1.445216719,1134.957719,891.0314402,20.8179749,26.51704556,14.33027422,0.785078973,75,38,93,0,3
,,,00:04:25,17.64705882,23.88396264,1.353424549,1077.475162,848.1034221,22.16660159,28.16161569,13.60448437,0.787121088,78,38,93,0,3
,,,00:04:29,17.39130435,17.9682064,1.033171868,878.0259302,680.5826228,20.46432318,26.40121242,11.08618599,0.775128159,77,38,93,0,3
,,,00:04:32,16.80672269,26.22633426,1.560466888,1309.444507,1009.060686,20.02859542,25.99083942,16.53339024,0.770602099,77,38,93,0,3
,,,00:04:36,16.85393258,25.64680103,1.521710194,1299.046215,994.5304789,19.74279338,25.78784821,16.40209868,0.76558514,77,38,94,0,3
,,,00:04:39,17.8041543,26.87485884,1.509471238,1383.326544,1051.509281,19.42770415,25.55836579,17.46624425,0.760130922,78,38,94,0,3
,,,00:04:42,19.04761905,28.42157557,1.492132717,1423.990356,1093.821417,19.95910677,25.98374389,17.97967622,0.76813822,78,38,94,0,3
,,,00:04:46,16.2601626,26.8825849,1.653278971,1312.491994,1026.892543,20.48209438,26.1785764,16.57186861,0.782399091,78,38,94,0,3
,,,00:04:49,20.6185567,24.41482457,1.184118992,1129.11005,870.8579693,21.62306904,28.03536906,14.25644003,0.771278202,78,38,95,0,3
,,,00:04:53,15.83113456,21.11946495,1.334046202,1037.785439,799.7225537,20.35051192,26.40848986,13.1033515,0.770604909,78,38,93,0,3
,,,00:04:56,18.92744479,27.89478139,1.473774283,1413.133268,1073.593191,19.73966789,25.98263626,17.84259176,0.759725368,79,38,94,0,3
,,,00:05:00,16.52892562,23.80358933,1.440117154,1158.936027,887.7284967,20.53917453,26.81404215,14.63303064,0.765985763,78,38,94,0,3
,,,00:05:03,19.93355482,25.35212311,1.27183151,1212.934206,921.9092271,20.90148252,27.49958713,15.31482584,0.760065321,79,76,93,0,3
,,,00:05:06,17.19197708,32.85931736,1.91131696,1572.457529,1241.409586,20.89679165,26.4693601,19.85426173,0.78947098,80,76,90,0,3
,,,00:05:09,19.41747573,26.67617106,1.373822809,1306.020801,1009.330397,20.42553307,26.42957266,16.49016163,0.77282873,79,76,91,0,3
,,,00:05:12,18.51851852,23.94906819,1.293249682,1215.952675,937.4778808,19.69572392,25.54627548,15.35293782,0.77098221,80,76,92,0,3
,,,00:05:16,18.57585139,26.54299897,1.428898111,1388.683352,1061.136976,19.11378784,25.01373486,17.53388071,0.764131704,81,76,92,0,3
,,,00:05:19,17.29106628,25.9240134,1.499272108,1343.7558,1020.581496,19.29220577,25.40121832,16.96661364,0.759499231,83,76,93,0,3
,,,00:05:23,16.08579088,24.03494708,1.494172543,1225.940022,933.9057022,19.60532053,25.73594638,15.47904068,0.761787433,85,76,93,0,3
,,,00:05:26,16.39344262,26.01614141,1.586984626,1388.260734,1044.778929,18.74009742,24.90109695,17.52854463,0.7525812,86,76,93,0,3
,,,00:05:30,17.59530792,28.44390797,1.616562103,1540.303732,1149.220117,18.46642801,24.75061788,19.44827944,0.746099677,86,76,93,0,3
,,,00:05:33,19.48051948,27.75620375,1.424818459,1463.923223,1097.363737,18.9601499,25.29353105,18.48387908,0.749604706,86,76,94,0,3
,,,00:05:36,17.96407186,30.68899892,1.708354273,1654.125827,1244.507235,18.55300148,24.65955846,20.88542711,0.752365518,85,76,93,0,3
,,,00:05:40,18.63354037,29.11503194,1.562506714,1527.429492,1158.865114,19.06145723,25.12374528,19.28572591,0.758702853,85,76,94,0,3
,,,00:05:43,19.23076923,29.20481645,1.518650455,1473.413189,1112.136872,19.82119928,26.26009189,18.60370188,0.75480312,85,76,93,0,3
,,,00:05:46,18.98734177,31.9336051,1.681836535,1648.989005,1243.616808,19.36556581,25.67801022,20.82056825,0.754169254,85,76,92,0,3
,,,00:05:49,20.54794521,31.49854597,1.532929237,1577.691537,1186.403347,19.96495844,26.54960983,19.92034769,0.751986887,85,76,95,0,3
,,,00:05:52,19.48051948,30.06094222,1.543128367,1507.896621,1141.096184,19.93567848,26.34391617,19.03909875,0.75674696,85,76,95,0,3
,,,00:05:55,20.6185567,32.36383722,1.569646105,1706.900399,1290.925412,18.96058917,25.07026117,21.55177271,0.756298032,87,76,94,0,3
